,title,date_list,critic_sentiment,critic_score,audience_setiment,audience_score
5773,Neighbors 2: Sorority Rising,"Streaming Sep 6, 2016",positive,64%,negative,44%
5774,Nobody's Fool,"Streaming Jul 1, 2013",positive,91%,positive,81%
5775,Ordinary People,"Streaming Aug 1, 2013",positive,89%,positive,88%
5776,Paradox Effect,"Streaming Sep 24, 2024",,,positive,98%
5777,SLC Punk,"Streaming Apr 1, 2010",positive,62%,positive,89%
5778,Song of the Sea,"Streaming Mar 16, 2015",positive,99%,positive,92%
5779,Staying Alive,"Streaming Aug 1, 2013",negative,0%,negative,40%
5780,T.I.M.,"Streaming Jan 12, 2024",negative,43%,positive,76%
5781,The Deep Blue Sea,"Streaming Jan 21, 2013",positive,82%,negative,52%
5782,The Edge of Love,"Streaming Jul 9, 2019",negative,38%,negative,43%
5783,The Natural,"Streaming Apr 16, 2012",positive,83%,positive,88%
5784,Annie,"Streaming Apr 16, 2015",negative,50%,positive,69%
5785,Anomalisa,"Streaming Dec 19, 2016",positive,92%,positive,71%
5786,Basket Case,"Streaming Dec 15, 2016",positive,77%,negative,54%
5787,Black Snake Moan,"Streaming Jun 15, 2011",positive,66%,positive,69%
5788,Cellphone,"Streaming Feb 13, 2024",,,negative,37%
5789,Don't Tell Mom the Babysitter's Dead,"Streaming Oct 17, 2016",negative,35%,negative,57%
5790,Forbidden Planet,"Streaming Aug 25, 2008",positive,94%,positive,85%
5791,Hope Springs,"Streaming May 4, 2014",positive,75%,negative,55%
5792,I Am Number Four,"Streaming Jan 1, 2014",negative,32%,negative,57%
5793,Into the Abyss,"Streaming Apr 28, 2016",positive,92%,positive,76%
5794,Nagordola,"Streaming Nov 24, 2020",,,,
5795,October,"Streaming Jun 9, 2018",positive,92%,positive,93%
5796,Rogue,"Streaming Aug 28, 2020",positive,67%,negative,38%
5797,Taking Lives,"Streaming Sep 23, 2016",negative,22%,negative,54%
5798,The Pirates! Band of Misfits,"Streaming Aug 28, 2012",positive,87%,positive,60%
5799,The Skeleton Twins,"Streaming Dec 30, 2015",positive,86%,positive,69%
5800,20th Century Women,"Streaming Apr 14, 2017",positive,88%,positive,74%
5801,A Bittersweet Life,"Streaming Apr 22, 2019",positive,100%,positive,90%
5802,Are You Here,"Streaming May 22, 2017",negative,6%,negative,22%
5803,Austin Powers: The Spy Who Shagged Me,"Streaming Jan 19, 2016",negative,53%,positive,71%
5804,Jack Ryan: Shadow Recruit,"Streaming Dec 31, 2015",negative,55%,negative,52%
5805,John Carpenter's Escape From L.A.,"Streaming Aug 1, 2013",negative,54%,negative,39%
5806,Johnny English Reborn,"Streaming Sep 10, 2015",negative,39%,negative,45%
5807,Journey's End,"Streaming Jun 17, 2018",positive,91%,positive,72%
5808,Just Friends,"Streaming Dec 11, 2015",negative,43%,positive,71%
5809,Meet Bill,"Streaming Dec 12, 2016",negative,20%,negative,44%
5810,Midnight Express,"Streaming Apr 16, 2012",positive,90%,positive,88%
5811,Monos,"Streaming Sep 13, 2019",positive,93%,positive,85%
