Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Sound Mix,Aspect Ratio,title,Rerelease Date (Theaters),Release Date (DVD),Creator
Tim Brown,"Doug Murray,Nicholas Tabarrok,William G. Santor",Tim Brown,Falling Forward Films,"Darius Films,Productivity Media",R (Violence|Pervasive Language),"Action,Comedy,Crime",English,"Sep 15, 2023, Wide","Oct 17, 2023",$1.4M,1h 43m,,,The Retirement Plan,,,
David Dobkin,"Jessica Elbaum,Eitan Evan,Will Ferrell,Chris Henchy","Will Ferrell,Harper Steele",,"Netflix,European Broadcasting Union (EBU),Gloria Sanchez Productions,Gary Sanchez Productions,Truenorth Productions",PG-13 (Language|Crude Sexual Material),"Musical,Comedy",English,,"Jun 26, 2020",,2h 0m,,,Eurovision Song Contest: The Story of Fire Saga,,,
Robert Salerno,"Robert Salerno,Naomi Despres,Sukee Chew,Christopher Tricarico,Riccardo Di Pasquale",Sarah Conradt-Kroehler,Paramount Pictures,"Fenix Entertainment,Hopscotch Pictures,Artina Films",PG-13,"Horror,Mystery & Thriller",English,"Sep 13, 2024, Limited","Sep 13, 2024",,1h 32m,,,Here After,,,
"Zoya Akhtar,Dibakar Banerjee,Karan Johar,Anurag Kashyap",,,,,,Drama,Hindi,,"Jun 15, 2018",,2h 0m,,,Lust Stories 2,,,
Santiago Menghini,"Jonathan Cavendish,Will Tennant","Jon Croker,Fernanda Coppel",,,,"Horror,Mystery & Thriller",English,,"Sep 29, 2021",,,,,No One Gets Out Alive,,,
Stefan C. Schaefer,,Stefan C. Schaefer,,,TV-MA,Western,English,,,,21m,,,The Roundup,,,
Adam Newacheck,"Kyle Newacheck,Adam Newacheck",Holly Kenney,Red Hound Entertainment,Wonk,,"Mystery & Thriller,Horror",English,,"Feb 14, 2024",,1h 23m,,,Stranger in the Woods,,,
Brett Donowho,"Brett Donowho,Micah Haley,Robert Paschall Jr.,R. Bryan Wright,Sasha Yelaun",Carl W. Lucas,Saban Films,"E1 Entertainment,EchoWolf Productions,Intercut Capital,Tri-Fold Pictures,Saturn Films,Capstone Studios",R (Violence),"Western,Action",English,"Jan 6, 2023, Limited","Jan 13, 2023",$365.0K,1h 35m,,Scope (2.35:1),The Old Way,,,
Barnaby Clay,Brian R. Etting,Barnaby Clay,Magnet Releasing,Out of the Ether,,"Horror,Mystery & Thriller",English,"Jan 26, 2024, Limited","Jan 26, 2024",$3.0K,1h 34m,,Flat (1.66:1),The Seeding,,,
"Ryan Tohill,Andy Tohill",Brian J. Falconer,,,Out of Orbit,,Mystery & Thriller,British English,,"Aug 19, 2019",,1h 37m,,,The Dig,,,
Josh Ruben,"Jason Altman,Margaret Boykin,Andrew Lieberman,Natalie Metzger,Matt Miller,Benjamin Wiessner",Mishna Wolff,IFC Films,"Ubisoft Film and Television,Vanishing Angle,Ubisoft",R (Some Bloody Violence|Sexual References|Language Throughout),"Comedy,Horror,Mystery & Thriller",English,"Jun 25, 2021, Limited","Jul 2, 2021",$575.6K,1h 37m,,,Werewolves Within,,,
Yeon Sang-ho,,"Park Joo-Suk,Yeon Sang-ho",Well Go USA Entertainment,"Movic Comics,RedPeter Film,Next Entertainment World",,"Horror,Mystery & Thriller,Action",Korean,"Aug 21, 2020, Limited","Nov 24, 2020",$1.2M,1h 56m,Dolby Atmos,Scope (2.35:1),Train to Busan Presents: Peninsula,,,
Michael Mayer,Joel S. Rice,Chad Hodge,,Muse Entertainment Enterprises,,"Holiday,Romance,Comedy,LGBTQ+",English,,"Dec 2, 2021",,1h 39m,,,Single All the Way,,,
