Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Sound Mix,Aspect Ratio,title,Rerelease Date (Theaters),Release Date (DVD),Creator
Joel Crawford,Mark Swift,"Paul Fisher,Tommy Swerdlow",Universal Pictures,DreamWorks Animation,PG (Rude Humor/Language|Action/Violence|Some Scary Moments),"Kids & Family,Comedy,Adventure,Animation",English,"Dec 21, 2022, Wide","Jan 6, 2023",$185.5M,1h 42m,"Dolby Atmos,Dolby Digital",Digital 2.39:1,Puss in Boots: The Last Wish,,,
Roger Corman,Roger Corman,,,Beacon Films,,Adventure,English,,"Jul 18, 2018",,1h 24m,,,Atlas,,,
Michael Keaton,"Trevor Matthews,Nick Gordon,Michael Sugar,Ashley Zalta",Gregory Poirier,Saban Films,"Brookstreet Pictures,Three Point Capital (TPC),Sugar23",R (Violence and Language),Mystery & Thriller,English,"Mar 15, 2024, Limited","May 21, 2024",,1h 54m,,,Knox Goes Away,,,
Christian Lee,,Christian Lee,,Melanated Visions,,"Crime,Drama",English,,"Oct 8, 2020",,39m,,,Black Widow,,,
Alejandro Hartmann,,,Netflix,,,"Crime,Documentary",English,,"Oct 7, 2024",,1h 58m,,,The Menendez Brothers,,,
James Cameron,"James Cameron,Jon Landau","James Cameron,Rick Jaffa,Amanda Silver",20th Century Studios,"20th Century Studios,Lightstorm Entertainment",PG-13 (Partial Nudity|Intense Action|Sequences of Strong Violence|Some Strong Language),"Sci-Fi,Adventure,Action,Fantasy",English,"Dec 16, 2022, Wide","Mar 28, 2023",$684.1M,3h 12m,Dolby Atmos,,Avatar: The Way of Water,,,
Nathan Silver,"Tim Headington,Theresa Steele Page,Nate Kamiya,Adam Kersh,Taylor Hess","Nathan Silver,C. Mason Wells",Sony Pictures Classics,"Ley Line Entertainment,Fusion Entertainment",R (Some Sexual References|Language),"Comedy,Drama,Romance",English,"Aug 23, 2024, Limited","Sep 24, 2024",$2.1M,1h 51m,,,Between the Temples,,,
Barry Pollack,Paul Lewis,Barry Pollack,,,PG,"Mystery & Thriller,Drama",English,,"May 2, 2017",,1h 30m,,,Hijack '93,,,
Eric Zaragoza,"Elias Axume,Rick Benattar,Milos Djukelic,Nigel Thomas",Jorge Saralegui,,Benattar/Thomas Productions,,"Action,Sci-Fi,Mystery & Thriller",English,,"May 9, 2018",,1h 29m,,,Incoming,,,
Jon Gunn,"David Beal,Jon Berg,Johnathan Dorfman,Kevin Downes,Andrew Erwin,Jon Erwin,Sarah E. Johnson,Dave Matthews","Kelly Fremon Craig,Meg Tilly",Lionsgate,"Vertigo Entertainment,Kingdom Story Company,Stampede Ventures",PG (Smoking|Brief Bloody Images|Thematic Content),Drama,English,"Feb 23, 2024, Wide","Mar 26, 2024",$19.1M,1h 56m,,,Ordinary Angels,,,
Sean Baker,"Sean Baker,Alex Coco,Samantha Quan,Alex Saks,Shih-Ching Tsou","Sean Baker,Chris Bergoch",A24,"Cre Film,FilmNation Entertainment",R (Graphic Nudity|Drug Use|Pervasive Language|Strong Sexual Content),"Comedy,Drama",English,"Dec 3, 2021, Limited","Mar 1, 2022",$825.0K,2h 8m,,Scope (2.35:1),Red Rocket,,,
David Guglielmo,"Bobby Campbell,Lillian Campbell,Jordan Dykstra",Kathy Charles,Quiver Distribution,,,Mystery & Thriller,English,,"Nov 8, 2024",,1h 15m,,,Love Bomb,,,
Kerry Bellessa,"Kerry Bellessa,Summer Bellessa,Trevor Engelson","Kerry Bellessa,Joshua Oram",,"Bluefields Entertainment ,Underground",R (Sexual References|Some Disturbing Content),Mystery & Thriller,English,"Nov 2, 2012, Limited","Aug 11, 2016",,1h 20m,,,Amber Alert,,,
Tommy Fan,Edmond Hung,"Ng Wai-Sek,Ng Gam-Yuen,Chan Wing-Cheung",,,,Action,Chinese,,,,1h 36m,,,The Last Duel,,,
Jang Jae-hyun,,Jang Jae-hyun,Well Go USA Entertainment,"Pinetown Production,Showbox Entertainment,Showbox,MCMC",,"Horror,Mystery & Thriller",Korean,"Mar 15, 2024, Limited","Jun 4, 2024",$2.3M,2h 13m,Surround,,Exhuma,,,
Michael Polish,"Mark Polish,Michael Polish","Mark Polish,Michael Polish",Sony Pictures Classics,"Polish Brothers Construction,Jackpot Film Productions",R (Language|Sexuality),Drama,English,"Jul 27, 2001, Wide","Nov 30, 2016",$43.7K,1h 32m,"Surround,Dolby Stereo",Scope (2.35:1),Jackpot!,,,
James Mangold,"Kathleen Kennedy,Frank Marshall,Simon Emanuel","Jez Butterworth,John-Henry Butterworth,David Koepp,James Mangold",Walt Disney Pictures,"Lucasfilm Ltd.,Paramount Pictures,Walt Disney Pictures",PG-13 (Language|Action|Sequences of Violence|Smoking),"Adventure,Action",English,"Jun 30, 2023, Wide","Aug 29, 2023",$174.5M,2h 24m,Dolby Atmos,Digital 2.39:1,Indiana Jones and the Dial of Destiny,,,
Doug Liman,Joel Silver,"Anthony Bagarozzi,Charles Mondry,Chuck Mondry",Amazon Studios,"Studio Concierge,MGM,BCD Travel,Silver Pictures",R,"Action,Drama,Mystery & Thriller",English,,"Mar 21, 2024",,1h 54m,Dolby Digital,,Road House,,,
S.S. Rajamouli,D.V.V. Danayya,"S.S. Rajamouli,Sai Madhav Burra,Vijayendra Prasad",Sarigama Cinemas,DVV Entertainments,,"Action,Drama",Telugu,"Mar 25, 2022, Wide","May 22, 2022",$596.5K,3h 7m,Dolby Atmos,Scope (2.35:1),RRR,,,
Robert Morgan,"Alain de la Mata,Christopher Granier-Deferre","Robert Morgan,Robin King",IFC Films,Blue Light,R (Some Language|Brief Drug Material|Sexual Material|Gore|Violent/Disturbing Content),Horror,English,"Feb 23, 2024, Limited","Mar 15, 2024",$789.2K,1h 33m,,,Stopmotion,,,
José Álvaro Morais,Henrique Espírito Santo,,,"Animatógrafo,Instituto Português de Cinema,Fundação Calouste Gulbenkian",,Drama,Portuguese,,,,2h 7m,,,The Jester,,,
Kazunori Ikegami,,,,,,"Kids & Family,Fantasy,Animation",root,,,,54m,,,Sonic the Hedgehog 2,,,
Nacho Cerdà,Alexander Metodiev,"Karim Hussain,Nacho Cerdà,Richard Stanley",,Castelao Producciones S.A.,R (Some Disturbing Images|Nudity|Language|Violence/Gore),"Horror,Mystery & Thriller",English,,"Jul 19, 2009",$1.3M,1h 46m,Dolby SRD,Flat (1.85:1),Abandoned,"Feb 23, 2007",,
Lyttanya Shannon,"Rebecca North,Kiran Sira",,Netflix,Netflix,,Documentary,English,,"Oct 16, 2024",,1h 22m,,,Sweet Bobby: My Catfish Nightmare,,,
Albert Dupontel,"Jean-Michel Rey,Philippe Liégeois",Albert Dupontel,,Universal/Universal Int,,Comedy,Canadian French,,,,1h 31m,,,The Creator,,,
Juel Taylor,"Jamie Foxx,Charles D. King,Stephen ""Dr"" Love,Tony Rettenmaier,Kim Roth,Juel Taylor,Datari Turner","Tony Rettenmaier,Juel Taylor",Netflix,"Federal Films,Made With Love Media,MACRO",R (Some Sexual Material|Pervasive Language|Drug Use|Violence),"Sci-Fi,Comedy",English,"Jul 14, 2023, Limited","Jul 21, 2023",,2h 2m,Dolby Digital,,They Cloned Tyrone,,,
Buddhadev Dasgupta,,,,,,,,,,,,,,The Voyeurs,,,
Martin McDonagh,"Graham Broadbent,Peter Czernin,Martin McDonagh",Martin McDonagh,Searchlight Pictures,Blueprint Pictures,R (Language Throughout|Brief Graphic Nudity|Some Violent Content),Comedy,English,"Nov 4, 2022, Wide","Dec 13, 2022",$10.6M,1h 49m,Dolby Digital,Digital 2.39:1,The Banshees of Inisherin,,,
Richard Rowntree,"Matthew Davies,Richard Rowntree",Matthew Davies,,Ash Mountain Films,,Horror,British English,,"Mar 15, 2020",,1h 19m,,,Nefarious,,,
William James Craft,,,,Clinton Productions,,Drama,,,,,50m,,,The Flash,,,
Ethan Coen,"Robert Graf,Ethan Coen,Tricia Cooke,Tim Bevan,Eric Fellner","Ethan Coen,Tricia Cooke",Focus Features,Working Title Films,R (Full Nudity|Crude Sexual Content|Language|Some Violent Content),"Comedy,LGBTQ+,Action,Mystery & Thriller",English,"Feb 23, 2024, Wide","Mar 12, 2024",$4.9M,1h 24m,Dolby Digital,Flat (1.85:1),Drive-Away Dolls,,,
Gray Hofmeyr,,,,,PG,Drama,English,,,,1h 29m,Surround,,Out of Darkness,,,
Lana Wachowski,"James McTeigue,Lana Wachowski,Grant Hill","Lana Wachowski,David Mitchell,Aleksandar Hemon",Warner Bros. Pictures,"Warner Bros.,Village Roadshow Pictures",R (Violence and Some Language),"Sci-Fi,Action",English,"Dec 22, 2021, Wide","Dec 22, 2021",$37.7M,2h 28m,Dolby Atmos,Scope (2.35:1),The Matrix Resurrections,,,
Steve Collins,"Anish Savjani,Jonathan Silberberg",Steve Collins,,Film Science,,"Comedy,Drama,Romance",English,,"Nov 5, 2012",,1h 37m,,,You Hurt My Feelings,,,
Moritz Mohr,"Zainab Azizi,Wayne Fitzjohn,Dan Kagan,Alex Lebovici,Roy Lee,Stuart Manashil,Sam Raimi,Simon Swart","Tyler Burton Smith,Arend Remmers,Moritz Mohr",Roadside Attractions / Lionsgate,"Raimi Productions,Nthibah Pictures,Hammerstone Studios",R (Language|Gore|Sexual References|Some Drug Use|Strong Bloody Violence),"Action,Comedy,Mystery & Thriller",English,"Apr 26, 2024, Wide","May 28, 2024",$2.6M,1h 51m,,,Boy Kills World,,,
Hajime Tsuda,Chikara Ito,Hajime Tsuda,,And Pictures,,Drama,Japanese,,,,1h 45m,,,Daughters,,,
David Yates,"David Heyman,Steve Kloves,Tim Lewis,J.K. Rowling,Lionel Wigram","J.K. Rowling,Steve Kloves",Warner Bros. Pictures,"Heyday Films,Warner Bros.",PG-13 (Some Fantasy Action/Violence),"Fantasy,Adventure",British English,"Apr 15, 2022, Wide","May 30, 2022",$95.8M,2h 22m,"Dolby Atmos,Dolby Digital,DTS",,Fantastic Beasts: The Secrets of Dumbledore,,,
Ryan Coogler,"Kevin Feige,Nate Moore","Ryan Coogler,Joe Robert Cole",Walt Disney Pictures,"Marvel Studios,Walt Disney Pictures",PG-13 (Sequences of Strong Violence|Action|Some Language),"Action,Adventure,Fantasy",English,"Nov 11, 2022, Wide","Feb 1, 2023",$453.8M,2h 41m,"Dolby Atmos,Dolby Digital,DTS",Scope (2.35:1),Black Panther: Wakanda Forever,,,
Bennet Davlin,"Anthony Badalucco,Bennet Davlin",,,,R (Frightening Images|Language),Mystery & Thriller,British English,,,,1h 38m,,,Memory,,"May 22, 2007",
Brian Duffield,"Brian Duffield,Tim White,Trevor White,Allan Mandelbaum","Brian Duffield,Brian Duffield",Hulu,"20th Century Fox,Star Thrower Entertainment",PG-13 (Violent Content|Terror),"Mystery & Thriller,Horror,Sci-Fi",English,,"Sep 22, 2023",,1h 33m,,,No One Will Save You,,,
Antoine Fuqua,"Todd Black,Jason Blumenthal,Denzel Washington,Alex Siskin,Steve Tisch,Mace Neufeld,Tony Eldridge,Michael Sloan",Richard Wenk,Sony Pictures Entertainment,"Escape Artists,Mace Neufeld Productions,Zhiv",R (Some Sexual References|Language Throughout|Strong Bloody Violence),"Action,Mystery & Thriller",English,"Sep 26, 2014, Wide","Jun 28, 2016",$101.5M,2h 12m,"Datasat,Dolby Digital",,The Equalizer 3,,,
Bill Burr,"Mike Bertolina,Bill Block,Bill Burr,Monica Levinson,Ben Tishler","Bill Burr,Ben Tishler",Netflix,"Miramax,All of Us Productions,All Things Comedy",R (Pervasive Language|Nudity|Brief Drug Use|Sexual Material),Comedy,English,"Oct 13, 2023, Limited","Oct 20, 2023",,1h 42m,Dolby Digital,,Old Dads,,,
Bernard Rose,"Steve Golin,Alan Poul,Sigurjon Sighvatsson","Clive Barker,Bernard Rose","Columbia Tristar,TriStar Pictures","Propaganda Films,PolyGram Filmed Entertainment",R,"Horror,Mystery & Thriller",English,"Oct 16, 1992, Wide","Nov 27, 2013",$23.5M,1h 38m,"Surround,Stereo,Dolby SR",Flat (1.85:1),Candyman,,,
M. Night Shyamalan,"M. Night Shyamalan,Marc Bienstock,Ashwin Rajan","M. Night Shyamalan,Steve Desmond,Michael Sherman",Universal Pictures,"Wishmore,FilmNation,Universal Studios,Dentsu,Blinding Edge Pictures,Perfect World Pictures",R (Violence and Language),"Mystery & Thriller,Drama",English,"Feb 3, 2023, Wide","Feb 21, 2023",$35.4M,1h 40m,"Dolby Atmos,Dolby Digital",Digital 2.39:1,Knock at the Cabin,,,
Lee Seong-han,"Kim Taejin,Park Yun-ho","Lee Seong-han,Woo Jung",,Film The Days,,"Drama,Action",Korean,,,,1h 48m,,,Wish,,,
Neill Blomkamp,"Doug Belgrad,Asad Qizilbash,Carter Swan,Dana Brunetti","Jason Hall,Zach Baylin",Columbia Pictures,"Trigger Street Productions,2.0 Entertainment,TSG Entertainment,PlayStation Productions,Sony Pictures,Columbia Pictures,Michael De Luca Productions,Marzano Films",PG-13 (Some Strong Language|Intense Action),"Action,Drama",English,"Aug 25, 2023, Wide","Sep 26, 2023",$44.2M,2h 15m,"Dolby Atmos,Dolby Digital",Flat (1.85:1),Gran Turismo: Based on a True Story,,,
Peter Bogdanovich,,Christian Darren,,,TV-14 (L),"Biography,Drama",English,,,,1h 36m,,,Hustle,,,
"Kevin Peaty,Christo Stamboliev",,,Netflix,,,"Kids & Family,Holiday,Comedy,Animation",English,,"Oct 3, 2024",,24m,,,The Bad Guys: Haunted Heist,,,
J. A. Bayona,"Belén Atienza,Sandra Hermida","J. A. Bayona,Nicolas Casariego,Jaime Marques Olarreaga,J. A. Bayona,Bernat Vilaplana,Jaime Marques Olarreaga,Nicolas Casariego",Netflix,"El Arriero Films,Apaches Entertainment,Cimarrón Cine,Benegas Brothers Productions,Telecinco Cinema",R (Violent/Disturbing Material|Brief Graphic Nudity),"Drama,Adventure,Biography",Spanish,"Dec 22, 2023, Limited","Jan 4, 2024",,2h 24m,"Dolby Digital,Dolby Atmos",,Society of the Snow,,,
Shawn Levy,"Ryan Reynolds,Shawn Levy,Sarah Schechter,Greg Berlanti,Adam Kolbrenner","Matt Lieberman,Zak Penn",,"Maximum Effort,20th Century Studios,21 Laps Entertainment,Berlanti Productions,Lit Entertainment Group",PG-13 (Language|Crude/Suggestive References|Strong Fantasy Violence),"Action,Adventure,Comedy",English,"Aug 13, 2021, Wide","Sep 27, 2021",$121.6M,1h 55m,"DTS,Dolby Digital,Dolby Atmos",Scope (2.35:1),Free Guy,,,
Nicholas Tomnay,"Nicholas Tomnay,Kevin Chinoy,Francesca Silvestri",Nicholas Tomnay,Magnet Releasing,"Evergreen Avenue,Freestyle Picture Company,Jaguar Bite",,Mystery & Thriller,English,"May 31, 2024, Limited","May 31, 2024",$5.6K,1h 41m,,,What You Wish For,,,
Peyton Reed,"Kevin Feige,Stephen Broussard",Jeff Loveness,Walt Disney Pictures,"Walt Disney Pictures,Marvel Studios,The South Australian Film Corporation,Québec Production Services Tax Credit",PG-13 (Violence/Action|Language),"Action,Adventure,Fantasy,Comedy",English,"Feb 17, 2023, Wide","Apr 18, 2023",$214.5M,2h 4m,Dolby Atmos,,Ant-Man and The Wasp: Quantumania,,,
Alec Tibaldi,"Robert Ogden Barnum,Eric Binns",Alec Tibaldi,Vertical,"Vertical Entertainment,Three Point Capital (TPC),The Barnum Picture Company",,Mystery & Thriller,English,"May 10, 2024, Limited","May 10, 2024",,1h 26m,,,Lazareth,,,
Robert Butler,Ron Miller,Herman Groves,,Walt Disney Productions,,Adventure,English,,,,1h 30m,,,Heather,,,
Angel Manuel Soto,"John Rickard,Zev Foreman",Gareth Dunnet-Alcocer,Warner Bros. Pictures,"Safran Company,DC Entertainment,Warner Bros.",PG-13 (Sequences of Action|Language|Some Suggestive References|Violence),"Action,Adventure",English,"Aug 18, 2023, Wide","Sep 26, 2023",$72.5M,2h 7m,"Dolby Atmos,Dolby Digital",Digital 2.39:1,Blue Beetle,,,
"Masakazu Higuchi,Chinami Namba",,Jack Olesker,,"American Film Investment II,Golden Entertainment",,"Adventure,Fantasy,Romance,Animation",English,,,,50m,,,The Little Mermaid,,,
Alireza Davoudnejad,"Jahangir Kosari,Majid Modaresi",Kambuzia Partovi,,,,"Drama,Mystery & Thriller",Persian,,,,1h 40m,,,Ferrari,,,
Ric Roman Waugh,"Gerard Butler,Basil Iwanyk,Sébastien Raybaud,Alan Siegel",Chris Sparling,,"Thunder Road Pictures,Anton Capital Entertainment,Riverstone Pictures,G-BASE,Truenorth Productions,STX Films",PG-13 (Brief Strong Language|Bloody Images|Intense Disaster Action|Some Violence),"Action,Mystery & Thriller",English,,"Jan 26, 2021",,1h 59m,,Scope (2.35:1),Greenland,,,
Henrik Martin Dahlsbakken,"Martin Sundland,Catrin Gundersen,Thea Benedikte Kevin Karlsen","Christian Siebenherz,Lars Gudmestad,Harald Rosenløw-Eeg",Magnet Releasing,Fantefilm,,"Action,War,History,Drama",Norwegian,"Jul 26, 2024, Limited","Jul 26, 2024",$2.7K,1h 48m,,,The Arctic Convoy,,,
Harry Cleven,Laurent Brochand,,,Outsider Productions,,Mystery & Thriller,Canadian French,,,,1h 36m,,,Trouble,,,
André Øvredal,"Bradley J. Fischer,Mike Medavoy,Arnold Messer","Bragi F. Schut,Stefan Ruzowitzky,Zak Olkewicz",Universal Pictures,"E1 Entertainment,Phoenix Pictures,Studio Babelsberg,DreamWorks Pictures",R (Bloody Violence),Horror,English,"Aug 11, 2023, Wide","Aug 29, 2023",$13.6M,1h 58m,"Dolby Atmos,Dolby Digital",Digital 2.39:1,The Last Voyage of the Demeter,,,
Jim Lujan,,Jim Lujan,,Jim Lujan Productions,,"Drama,Animation",English,,,,29m,,,Infinity Pool,,,
Jayakrishnan,"Mukesh R. Mehta,C.V. Sarathi",,,E4 Entertainment,,"Horror,Mystery & Thriller",Malayalam,,,,2h 27m,,,Ezra,,,
Unknown Director,,,,,,,,,,,,,,Trigger Warning,,,
Colin Trevorrow,"Frank Marshall,Patrick Crowley","Emily Carmichael,Colin Trevorrow",Universal Pictures,"Universal Pictures,Perfect World Pictures,Amblin Entertainment",PG-13 (Language|Intense Sequences of Action|Some Violence),"Action,Adventure,Sci-Fi,Mystery & Thriller",English,"Jun 10, 2022, Wide","Sep 2, 2022",$376.0M,2h 27m,"Dolby Digital,Dolby Atmos",,Jurassic World Dominion,,,
Fikile Mogodi,,Thuli Zuma,Netflix,,,"Drama,Romance,Comedy",,,"Nov 8, 2024",,1h 33m,,,Umjolo: The Gone Girl,,,
Jerry Seinfeld,"Beau Bauman,Spike Feresten,Jerry Seinfeld","Jerry Seinfeld,Spike Feresten,Barry Marder,Andy Robin",Netflix,"Columbus 81 Productions,Netflix Studios",PG-13 (Some Suggestive References|Language),Comedy,English,"May 3, 2024, Limited","May 3, 2024",,1h 33m,Dolby Digital,,Unfrosted,,,
Jeff Wadlow,"Jason Blum,Jeff Wadlow","Jeff Wadlow,Greg Erb,Jason Oremland",Lionsgate,"Blumhouse Productions,Tower of Babble Entertainment",PG-13 (Some Violent Content|Language|Drug Material),"Horror,Mystery & Thriller",English,"Mar 8, 2024, Wide","Mar 26, 2024",$28.0M,1h 44m,"Dolby Atmos,Dolby Digital",Scope (2.35:1),Imaginary,,,
Kyle Rankin,"Amanda Presmyk,Dallas Sonnier",Kyle Rankin,,"Bonfire Legend,Media Finance Capital",,"Drama,Action",English,,"Jan 14, 2021",,1h 49m,,,Run Hide Fight,,,
"Stephanie Allynne,Tig Notaro","Stephanie Allynne,Ro Donnelly,Jessica Elbaum,Erik Feig,Will Ferrell,Dakota Johnson,Lucy Kitada,Tig Notaro,Lauren Pomerantz",Lauren Pomerantz,Max,"Something Fierce Productions,Gloria Sanchez Productions,Picturestart,Level Forward,TeaTime Pictures",R (Some Drug Use|Sexual References|Language),"Romance,Comedy,Drama",English,,"Jun 6, 2024",,1h 26m,Dolby Digital,,Am I OK?,,,
X. Jo,"Henry Boboy,Aji Fauzi,Benni Mulyono,Witjaksono",,,Film Volt Ltd,,"Horror,Drama,Mystery & Thriller",English,,,,1h 24m,,,Die Alone,,,
Diana Bigham,,Diana Bigham,,Adelina Bella Productions,,Adventure,English,,"Sep 4, 2020",,1h 50m,,,Till Death,,,
Mark Molloy,"Jerry Bruckheimer,Eddie Murphy,Chad Oman","Will Beall,Tom Gormican,Kevin Etten",Netflix,"Paramount Pictures,Eddie Murphy Productions,Netflix,Jerry Bruckheimer Films",R (Violence|Language Throughout|Brief Drug Use),"Action,Comedy,Crime",English,"Jul 3, 2024, Limited","Jul 3, 2024",,1h 55m,"Dolby Atmos,Dolby Digital",Digital 2.39:1,Beverly Hills Cop: Axel F,,,
Mel Gibson,"Mel Gibson,Bruce Davey","Mel Gibson,Farhad Safinia",Buena Vista,Icon Entertainment International,R (Sequences of Graphic Violence|Disturbing Images),"Adventure,Action",root,"Dec 8, 2006, Wide","Apr 24, 2020",$50.9M,2h 17m,"Dolby SRD,DTS,SDDS",Flat (1.85:1),Apocalypto,,,
Frank Nunez,"Demetrius Navarro,Jon Quon",John Fuentes,,"D Street Films,Little Boyz Dreams,Lansing Entertainment Group",,Horror,English,,"Aug 21, 2016",,1h 18m,,,Uncharted,,,
"Gayatri Roshan,Emmanuel Vaughan-Lee","Gayatri Roshan,Emmanuel Vaughan-Lee",Gayatri Roshan,,Go Project Films,,Documentary,English,,"May 22, 2017",,1h 32m,,,Elemental,,,
Florian Zeller,"Iain Canning,Joanna Laurie,Karl Hartman,Emile Sherman,Christophe Spadone,Florian Zeller","Florian Zeller,Christopher Hampton",Sony Pictures Classics,"Neddy Dean Productions,Film4,See-Saw Films,Embankment Films,Orange Studio,Ciné@,Ingenious Media",PG-13 (Strong Language|Mature Thematic Content|Suicide),Drama,English,"Nov 25, 2022, Limited","Mar 28, 2023",$449.6K,2h 4m,Dolby Digital,Digital 2.39:1,The Son,"Jan 20, 2023",,
"Mike Campbell,Todd Johnson",,Todd Johnson,,3 Roses Entertainment,,"Horror,Comedy",English,,"Feb 24, 2017",,1h 35m,,,The Rental,,,
Simon Cellan Jones,"Mark Canton,Luis Ignacio Rodriguez,Tucker Tooley,Courtney Solomon,Tessa Tooley,Mark Wahlberg,Stephen Levinson",Michael Brandt,Lionsgate,"Tucker Tooley Entertainment,Municipal Pictures,Mark Canton",PG-13 (Some Strong Language),"Drama,Adventure",English,"Mar 15, 2024, Wide","Apr 23, 2024",$25.0M,1h 47m,,Digital 2.39:1,Arthur the King,,,
Aaron Schneider,Gary Goetzman,Tom Hanks,,"Creative Wealth Media Finance,Zhengfu Pictures,FilmNation Entertainment,Sycamore Pictures,Stage 6 Films,Playtone,Columbia Pictures,BRON Studios,Creative Artists Agency",PG-13 (War Related Action/Violence|Brief Strong Language),"War,History,Drama",English,,"Jul 10, 2020",,1h 32m,Stereo,Scope (2.35:1),Greyhound,,,
Joseph Kohn,Ben Frye,,,Studio Films,,Musical,English,,"May 13, 2016",,1h 10m,,,Rock,,,
,,Makoto Nakamura,,Toei Animation Company,,"Fantasy,Romance,Anime",Japanese,,"Dec 18, 2017",,1h 31m,,,Air,,,
Steven Spielberg,"Kristie Macosko Krieger,Steven Spielberg,Tony Kushner","Steven Spielberg,Tony Kushner",Universal Pictures,"Universal Pictures,Amblin Entertainment,Reliance Entertainment,Amblin Partners",PG-13 (Drug Use|Brief Violence|Some Strong Language|Thematic Elements),Drama,English,"Nov 23, 2022, Wide","Dec 13, 2022",$17.3M,2h 31m,Dolby Digital,Flat (1.85:1),The Fabelmans,,,
Stelana Kliris,"Keith Arnold,Stelana Kliris,Steve Shapiro",Stelana Kliris,Netflix,"Uinta Productions,Das Films,Meraki Films,Jupiter Peak Productions,Green Olive Films",,"Romance,Comedy",English,,"Jul 19, 2024",,1h 33m,,,Find Me Falling,,,
Tommy Wirkola,"Kelly McCormick,David Leitch,Guy Danella","Pat Casey,Josh Miller",Universal Pictures,"87North,Universal Pictures,Québec Production Services Tax Credit",R (Some Sexual References|Language Throughout|Strong Bloody Violence),"Holiday,Action,Comedy",English,"Dec 2, 2022, Wide","Dec 20, 2022",$50.1M,1h 52m,"Dolby Digital,Dolby Atmos",Digital 2.39:1,Violent Night,,,
Kazunori Ikegami,,,,,,"Kids & Family,Fantasy,Animation",root,,,,54m,,,Sonic the Hedgehog,,,
Guy Ritchie,"Guy Ritchie,Bill Block,Ivan Atkinson","Guy Ritchie,Ivan Atkinson,Marn Davies",United Artists Releasing,"Flic Films UK,Miramax,CAA Media Finance,MGM,Toff Guy Films",R,"Action,Mystery & Thriller,Crime,Drama",English,"May 7, 2021, Wide","Jun 29, 2021",$27.5M,1h 59m,,Scope (2.35:1),Wrath of Man,,,
